plateID,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate,2018_11_1_plate
reaction_type,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products,all_products
unique_sampleID_number,499,523,547,571,595,619,642,667,691,715,1821,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,1050,1040,1063,1061,1085,1275,1308,980,1451,1355,1558,1545,1546,1424,1498,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,500,524,548,572,596,620,643,668,692,1809,1848,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,1014,1051,1064,1026,1086,1258,1296,978,1440,1320,1535,1547,1426,1522,1342,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,509,533,557,581,605,629,644,677,701,1810,1847,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,1015,1038,1073,1049,1052,1305,1307,1026,1423,1318,1344,1353,1488,1536,1329,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,510,534,558,582,606,630,653,678,702,1811,1846,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,1016,1037,1074,1199,1281,1293,1306,1462,1467,1390,1356,1378,1497,1524,1463,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,511,535,559,583,607,631,654,679,703,1812,1845,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock+IRE_plus18IRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,gblock_minusIRE_onlyExonnoIRE,977,1013,1075,1259,1282,1223,1317,1380,1452,1389,1486,1523,1543,1449,1332,512,536,560,584,608,632,655,680,704,1824,1025,1039,1087,1260,1283,1294,1221,1521,1533,1392,1499,1450,1461,1485,521,545,569,593,617,656,665,689,713,1823,979,1200,1088,1245,1247,1284,1222,1487,1437,1500,1391,1377,1508,1438,522,546,570,594,618,641,666,690,714,1822,1076,1062,1027,1246,1248,1295,1224,1425,1341,1439,1557,1379,1354,1534,NTC,NTC,NTC,NTC,NTC,NTC
starting_quantity,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.00,50.00,50.00,50.00,50.00,50.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.10,0.10,0.10,0.10,0.10,0.10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.00,10.00,10.00,10.00,10.00,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.05,0.05,0.05,0.05,0.05,0.05,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,5.00,5.00,5.00,5.00,5.00,5.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01,0.01,0.01,0.01,0.01,0.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.00,1.00,1.00,1.00,1.00,1.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,0.005 ,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.50,0.50,0.50,0.50,0.50,0.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cycle_number,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A19,A20,A21,A22,A23,A24,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B19,B20,B21,B22,B23,B24,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C19,C20,C21,C22,C23,C24,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D19,D20,D21,D22,D23,D24,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E19,E20,E21,E22,E23,E24,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F19,F20,F21,F22,F23,F24,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G19,G20,G21,G22,G23,G24,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H19,H20,H21,H22,H23,H24,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I19,I20,I21,I22,I23,I24,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,L1,L2,L3,L4,L5,L6,L7,L9,L10,L11,L12,L13,L14,L15,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,N1,N2,N3,N4,N5,N6,N7,N9,N10,N11,N12,N13,N14,N15,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,P1,P2,P3,P4,P5,P6,P7,P9,P10,P11,P12,P13,P14,P15,P19,P20,P21,P22,P23,P24
1,3517.48,3693.77,3581.94,3637.53,3548.95,3622.14,3566.07,3703.38,3610.17,3699.20,3767.92,3720.70,3637.16,3762.87,3779.59,3825.30,3749.87,3616.10,3880.17,3943.53,3835.12,3870.04,3875.44,3938.12,3849.47,3901.45,3857.19,3920.73,3861.81,4062.28,3821.83,3963.00,3961.03,3903.05,3715.83,3699.87,3761.94,3751.48,3658.75,3637.36,3689.29,3686.32,3705.81,3667.75,3645.13,3654.61,3666.45,3768.79,3741.75,3551.44,3698.60,3679.41,3818.25,3757.91,3835.82,3726.21,3775.10,3894.51,3875.03,3869.18,3868.55,3914.10,3913.95,3917.46,3882.14,3876.36,3900.98,3938.28,3772.05,3888.71,3802.39,3808.20,3652.90,3669.71,3704.65,3857.07,3619.59,3681.79,3691.03,3685.25,3613.20,3740.29,3702.83,3691.39,3664.17,3719.65,3627.88,3612.80,3572.73,3635.74,3750.66,3748.42,3716.61,3705.49,3760.71,3913.17,3989.92,3903.28,3801.45,3989.36,3961.82,3971.35,3963.33,3852.22,3911.38,3875.44,3782.33,3883.20,3809.17,3809.03,3625.11,3641.03,3677.89,3828.87,3662.82,3703.02,3662.05,3738.83,3689.81,3738.99,3658.28,3527.91,3585.87,3755.44,3633.40,3600.40,3629.70,3663.70,3711.35,3700.25,3690.37,3722.96,3852.20,3788.21,3804.03,3753.27,3818.25,3918.39,3768.44,3873.90,3851.62,3806.71,3921.11,3864.34,3823.44,3887.46,3682.49,3756.40,3672.53,3492.17,3642.62,3743.05,3569.59,3737.71,3521.84,3720.45,3666.92,3699.44,3569.92,3654.96,3690.11,3686.34,3707.26,3545.75,3577.24,3638.39,3659.26,3697.86,3654.33,3764.47,3838.44,3867.36,3825.08,3904.48,3794.67,3850.45,3868.41,3850.47,3756.59,3838.57,3724.00,3695.79,3704.27,3861.16,3739.13,3761.20,3681.80,3584.49,3608.42,3682.42,3674.12,3645.08,3632.34,3670.01,3680.18,3876.92,3948.10,3904.77,3882.10,3813.21,3840.32,3860.88,3830.64,3884.80,3772.97,3734.74,3738.52,3806.53,3752.51,3819.18,3723.95,3656.04,3677.48,3624.70,3668.44,3673.86,3692.65,3669.88,3842.48,3921.25,3898.41,3963.59,3920.65,3703.82,3744.70,3800.76,3807.77,3784.02,3826.21,3820.38,3784.19,3627.72,3700.11,3756.39,3701.24,3685.01,3662.31,3693.94,3671.64,3586.66,3697.02,3676.53,3782.92,3820.11,3923.45,3806.03,3747.22,3736.36,3695.94,3877.64,3666.74,3805.14,3741.60,3702.82,3645.65,3583.85,2940.20,3326.63,3501.82,3544.48,3479.93,3552.03
2,3513.39,3662.75,3560.74,3600.78,3531.55,3583.70,3536.56,3665.60,3594.38,3662.01,3747.19,3697.56,3609.75,3735.49,3752.53,3797.22,3705.15,3590.22,3835.41,3870.39,3783.30,3800.36,3822.01,3864.64,3777.12,3830.25,3801.21,3851.20,3795.19,3969.18,3763.34,3876.09,3878.40,3817.43,3657.51,3633.00,3681.77,3711.90,3629.34,3595.97,3647.33,3642.35,3661.57,3610.31,3604.84,3602.44,3617.81,3716.29,3697.53,3508.75,3638.37,3631.50,3761.97,3710.84,3798.92,3678.17,3719.94,3840.79,3809.28,3793.84,3805.99,3840.02,3846.54,3842.31,3806.94,3806.29,3825.99,3854.11,3692.20,3815.11,3739.65,3735.64,3604.17,3602.31,3648.47,3821.58,3595.04,3639.72,3652.44,3639.35,3581.86,3686.47,3663.07,3646.65,3615.89,3654.94,3591.40,3567.74,3519.32,3596.31,3704.75,3703.01,3694.58,3655.18,3705.55,3845.32,3908.87,3840.05,3734.06,3927.89,3882.59,3905.10,3888.67,3794.74,3835.90,3823.51,3715.65,3818.53,3744.47,3726.95,3569.57,3572.06,3625.23,3778.70,3630.62,3657.76,3627.98,3692.11,3647.70,3688.90,3618.42,3480.87,3539.59,3701.51,3594.27,3556.40,3567.34,3614.38,3660.68,3656.93,3668.78,3685.05,3800.28,3743.54,3760.52,3712.70,3762.01,3851.88,3715.94,3821.43,3786.22,3750.43,3846.02,3807.01,3757.97,3825.06,3628.66,3690.08,3614.44,3441.83,3588.43,3712.21,3560.03,3706.32,3497.83,3671.41,3647.20,3670.37,3547.16,3622.62,3641.79,3638.04,3662.32,3510.30,3538.40,3592.85,3603.76,3644.88,3635.90,3720.93,3778.11,3812.23,3769.37,3849.03,3727.54,3794.59,3807.14,3797.37,3700.52,3794.26,3664.55,3652.47,3635.88,3795.29,3701.00,3712.54,3639.66,3544.88,3573.45,3633.48,3637.52,3598.16,3587.37,3644.15,3645.82,3817.61,3894.72,3841.33,3831.29,3755.91,3778.80,3795.82,3765.42,3819.86,3717.78,3688.13,3668.57,3754.35,3732.95,3780.96,3678.42,3608.98,3635.63,3588.56,3628.64,3624.23,3641.31,3620.57,3798.30,3866.92,3845.95,3894.99,3849.39,3652.60,3695.88,3738.56,3742.58,3731.21,3754.02,3769.05,3717.59,3581.19,3676.48,3699.50,3655.49,3636.02,3612.62,3631.13,3625.99,3542.45,3657.32,3622.81,3755.43,3794.04,3882.35,3773.12,3713.99,3710.55,3651.61,3825.65,3634.35,3754.54,3703.07,3664.78,3612.94,3547.49,2940.47,3312.85,3475.81,3503.38,3453.88,3528.76
3,3514.22,3660.92,3562.37,3596.40,3530.15,3577.66,3530.99,3660.23,3586.60,3651.36,3738.35,3696.29,3602.46,3736.70,3750.86,3799.10,3733.53,3591.10,3833.49,3866.21,3779.96,3797.02,3817.30,3855.16,3773.24,3828.29,3797.29,3848.59,3788.77,3969.94,3760.74,3872.65,3872.30,3811.49,3652.49,3626.12,3679.44,3707.89,3633.42,3594.20,3648.68,3638.09,3658.65,3612.42,3604.98,3601.63,3613.77,3718.84,3695.23,3506.67,3635.86,3632.26,3762.48,3707.80,3802.47,3675.37,3717.32,3831.52,3807.24,3791.12,3799.85,3835.86,3844.26,3833.70,3800.48,3799.34,3821.40,3852.32,3695.89,3813.11,3736.26,3729.56,3597.12,3598.76,3641.67,3814.10,3594.81,3642.04,3647.86,3642.01,3573.17,3687.16,3659.97,3648.97,3617.09,3658.85,3585.30,3566.56,3516.16,3594.65,3707.54,3702.94,3691.95,3647.46,3699.43,3843.63,3904.05,3837.44,3726.82,3928.42,3879.11,3900.76,3881.47,3795.78,3831.80,3815.90,3710.33,3816.24,3739.99,3725.14,3567.57,3566.53,3620.72,3774.62,3630.35,3654.58,3630.40,3693.15,3642.87,3685.63,3613.16,3479.06,3535.69,3700.94,3591.19,3551.52,3563.77,3610.36,3653.51,3653.46,3662.01,3676.55,3801.14,3741.86,3752.26,3713.39,3755.74,3848.60,3711.01,3818.68,3781.94,3753.52,3845.86,3804.36,3755.95,3823.85,3622.50,3682.75,3606.99,3438.69,3586.41,3702.80,3554.26,3707.92,3499.94,3672.85,3646.21,3664.98,3541.35,3615.07,3645.73,3641.26,3663.63,3506.39,3535.23,3594.74,3605.37,3646.43,3631.48,3713.15,3775.30,3805.77,3765.03,3849.89,3727.36,3796.87,3798.89,3792.98,3694.99,3790.84,3663.79,3650.84,3635.19,3786.59,3702.26,3714.68,3633.24,3540.84,3571.95,3632.93,3637.58,3600.60,3587.31,3645.95,3648.98,3817.19,3892.29,3838.19,3828.97,3753.96,3779.72,3792.27,3760.76,3817.20,3718.25,3686.97,3663.69,3746.01,3731.35,3779.72,3681.68,3608.00,3634.66,3584.83,3623.65,3622.73,3635.52,3620.38,3799.51,3861.96,3837.43,3883.90,3844.57,3645.34,3689.53,3730.48,3739.01,3725.00,3750.02,3765.45,3718.79,3577.20,3674.18,3706.62,3656.13,3634.94,3609.28,3639.03,3625.54,3538.08,3657.24,3616.31,3757.82,3792.38,3879.11,3772.31,3709.63,3706.95,3651.76,3828.21,3634.91,3755.05,3706.83,3658.47,3605.22,3542.55,2937.84,3308.69,3472.47,3502.89,3452.08,3535.79
4,3514.24,3659.01,3560.14,3586.27,3526.00,3574.80,3528.10,3654.44,3583.55,3642.66,3736.41,3686.93,3595.93,3733.98,3749.10,3800.69,3742.44,3587.91,3829.56,3864.90,3774.92,3791.36,3816.32,3858.26,3768.85,3822.96,3793.48,3843.85,3791.70,3969.95,3757.03,3871.85,3869.38,3807.42,3650.74,3622.68,3675.61,3703.97,3626.10,3595.11,3652.70,3639.51,3654.91,3611.69,3603.85,3599.90,3612.78,3711.83,3692.47,3504.07,3634.95,3627.00,3764.83,3709.14,3789.03,3672.88,3711.44,3828.70,3807.01,3787.72,3797.17,3835.89,3846.82,3831.10,3798.86,3803.01,3821.76,3845.31,3692.61,3806.52,3735.74,3730.08,3595.01,3595.71,3639.33,3803.23,3590.72,3633.76,3645.88,3633.53,3573.03,3683.75,3659.24,3647.31,3614.13,3657.90,3588.48,3558.26,3512.82,3594.28,3703.22,3699.88,3692.02,3643.00,3701.70,3843.65,3906.81,3836.25,3728.83,3922.22,3877.74,3898.69,3882.69,3793.36,3828.99,3816.03,3710.02,3812.63,3738.94,3728.18,3562.03,3567.32,3618.07,3762.40,3632.19,3653.74,3625.79,3690.60,3644.58,3686.11,3609.03,3476.07,3533.72,3699.80,3590.76,3546.20,3559.95,3609.85,3649.46,3647.73,3658.21,3671.68,3797.20,3741.86,3750.77,3707.78,3752.35,3847.12,3691.97,3816.20,3781.22,3748.46,3842.28,3805.86,3752.43,3820.18,3620.81,3684.71,3599.88,3435.07,3583.81,3700.99,3554.47,3702.10,3496.59,3670.94,3645.05,3661.38,3538.81,3611.77,3638.45,3638.45,3661.23,3504.23,3538.09,3591.42,3599.11,3645.97,3624.72,3711.05,3773.31,3810.44,3763.78,3845.78,3722.27,3795.43,3789.22,3789.56,3692.11,3790.57,3656.00,3647.28,3634.22,3791.37,3706.65,3708.91,3632.49,3541.87,3571.59,3628.47,3631.09,3596.90,3585.51,3640.60,3641.51,3815.29,3896.02,3837.32,3825.70,3754.41,3778.71,3786.81,3756.69,3816.39,3711.48,3677.83,3661.01,3746.03,3727.64,3778.61,3681.31,3608.54,3631.58,3584.39,3621.22,3623.01,3634.98,3620.91,3792.95,3860.75,3833.89,3882.57,3835.00,3644.80,3687.84,3729.03,3731.52,3726.39,3746.50,3761.33,3712.58,3573.83,3674.27,3703.89,3659.92,3637.49,3604.85,3633.89,3626.06,3541.09,3652.88,3617.65,3760.05,3784.63,3874.04,3764.83,3705.02,3697.11,3646.76,3816.98,3629.67,3751.13,3700.63,3654.54,3606.81,3540.36,2937.98,3305.76,3463.92,3498.93,3447.90,3532.41
5,3511.70,3649.83,3557.32,3582.96,3527.61,3570.74,3525.06,3654.66,3586.46,3639.98,3735.39,3689.03,3593.01,3730.92,3747.33,3799.23,3739.41,3577.73,3822.47,3861.32,3772.03,3784.66,3812.72,3850.47,3760.32,3821.59,3794.44,3838.92,3786.47,3959.46,3756.20,3865.83,3866.45,3808.44,3647.62,3623.46,3674.31,3699.21,3622.64,3588.99,3647.02,3639.00,3661.66,3607.45,3599.40,3599.17,3612.55,3711.14,3690.63,3501.96,3633.14,3629.46,3764.10,3709.73,3791.88,3669.29,3711.51,3832.26,3801.71,3786.91,3798.97,3836.61,3844.92,3823.79,3796.55,3802.76,3818.49,3842.60,3687.97,3803.13,3731.97,3727.57,3590.28,3589.69,3638.47,3804.23,3588.02,3634.89,3645.62,3635.67,3571.99,3679.59,3654.77,3647.29,3616.55,3652.58,3590.12,3560.91,3511.28,3588.16,3706.95,3704.99,3688.65,3633.97,3700.31,3840.21,3901.36,3833.24,3727.75,3922.77,3873.63,3891.87,3879.63,3792.92,3827.74,3812.49,3696.52,3809.16,3734.88,3721.08,3558.43,3564.50,3612.25,3761.42,3627.58,3648.34,3624.39,3683.86,3639.56,3679.92,3605.58,3477.48,3531.71,3698.60,3587.35,3547.93,3562.91,3606.11,3650.70,3650.86,3658.08,3676.48,3799.10,3742.89,3746.47,3705.75,3753.56,3846.98,3694.60,3815.13,3780.15,3748.31,3838.87,3803.35,3750.50,3823.64,3621.39,3685.09,3601.50,3435.01,3580.24,3696.97,3551.39,3704.47,3493.86,3672.48,3643.00,3658.32,3539.34,3614.80,3637.11,3635.28,3658.98,3502.96,3534.50,3588.05,3600.12,3641.00,3622.61,3709.31,3771.89,3806.95,3765.89,3842.41,3713.48,3787.51,3787.53,3791.15,3690.69,3792.80,3655.92,3643.81,3630.44,3786.98,3703.37,3712.04,3634.46,3542.59,3572.07,3627.14,3633.19,3595.96,3586.81,3640.22,3640.16,3810.92,3888.68,3834.44,3821.74,3749.69,3776.40,3789.09,3757.10,3814.07,3713.05,3681.60,3658.92,3748.67,3737.20,3791.02,3681.84,3604.63,3632.02,3583.53,3623.98,3621.78,3633.10,3618.64,3786.81,3857.75,3834.45,3878.49,3834.98,3646.91,3684.20,3729.87,3733.87,3727.06,3742.40,3762.99,3716.26,3571.94,3674.88,3700.00,3654.76,3632.96,3603.86,3635.20,3621.27,3539.60,3651.09,3613.26,3753.37,3781.61,3877.13,3767.69,3699.47,3695.49,3644.24,3815.94,3633.39,3748.09,3699.72,3650.92,3602.72,3540.75,2938.55,3305.02,3460.11,3496.20,3441.81,3525.84
